Country;Year;Sex;Data Source;Age-standardized death rates violence per 100000;Comments;Estimated road traffic death rate (per 100 000 population);Age-standardized death rates prematurity and low birth rate per 100000;Mortality rate attributed to unintentional poisoning (per 100 000 population);Age-standardized NCD mortality rate  (per 100 000 population);Mortality rate among children ages 10 to 14 years (per 1000 children aged 10);
Eritrea [Africa];2004;Male;null;34.6;null;50.16723;13.3;5.65592;947.3319;;
Kyrgyzstan [Europe];2002;null;Not applicable;10.34;null;;;;;;
Mali [Africa];2004;Female;null;0.4;null;19.63004;3.3;3.36258;688.7063;;
Trinidad and Tobago [Americas];2002;null;Not applicable;8.64;null;;;;;;
Japan [Western Pacific];2004;Both sexes;null;0.5;null;10.08547;0.4;0.37771;280.7143;0.50076;
El Salvador [Americas];2004;Female;null;0.3;null;13.90174;0.3;0.04216;352.4965;;
Afghanistan [Eastern Mediterranean];2004;Both sexes;null;3.8;null;15.19411;25.1;2.43996;1038.197;4.47444;
Dominica [Americas];2004;Female;null;0.0;null;;0.0;;;;
Maldives [South-East Asia];2004;Both sexes;null;2.3;null;1.60635;18.8;0.07884;614.0586;3.24575;
Finland [Europe];2004;Male;null;3.6;null;10.67096;1.7;1.3912;546.3081;;
Canada [Americas];2002;null;Not applicable;1.45;null;;;;;;
Uzbekistan [Europe];2004;Male;null;6.0;null;20.1855;25.2;1.60875;1008.427;;
Brunei Darussalam [Western Pacific];2004;Both sexes;null;0.9;null;12.51968;4.6;0.27161;694.11;1.29071;
United Republic of Tanzania [Africa];2004;Both sexes;null;33.3;null;30.09382;20.1;2.85058;547.1433;5.19185;
Jamaica [Americas];2002;null;Not applicable;0.54;null;;;;;;
Kenya [Africa];2004;Both sexes;null;26.3;null;25.8985;18.5;2.72344;587.5858;5.56263;
El Salvador [Americas];2004;Male;null;75.7;null;59.33303;9.3;0.57335;507.8493;;
Togo [Africa];2002;null;Not applicable;12.79;null;;;;;;
Djibouti [Eastern Mediterranean];2004;Female;null;0.0;null;16.38544;0.1;1.96529;561.5557;;
Jamaica [Americas];2004;Female;null;0.2;null;7.63585;0.1;0.09474;386.6529;;
Lao People's Democratic Republic [Western Pacific];2004;Both sexes;null;7.1;null;13.84621;13.5;1.1689;783.8885;7.82759;
Timor-Leste [South-East Asia];2004;Male;null;28.2;null;19.83344;15.4;0.81665;571.368;;
Myanmar [South-East Asia];2004;Female;null;1.1;null;11.73143;5.6;3.49763;737.67;;
Cuba [Americas];2004;Male;null;8.8;null;17.96453;1.1;0.40315;510.8703;;
Nepal [South-East Asia];2002;null;Not applicable;18.82;null;;;;;;
Romania [Europe];2004;Male;null;4.1;null;18.74118;3.5;5.32082;903.5004;;
Sri Lanka [South-East Asia];2004;Both sexes;null;6.8;null;14.6953;7.1;0.82943;564.2751;8.29807;
Solomon Islands [Western Pacific];2004;Both sexes;null;1.2;null;18.31954;17.3;1.90934;796.1553;2.68419;
Oman [Eastern Mediterranean];2004;Both sexes;null;2.0;null;26.86541;3.4;1.32332;802.0792;1.49242;
Denmark [Europe];2004;Both sexes;null;0.9;null;7.03345;2.4;0.2658;477.5243;0.59525;
Nigeria [Africa];2004;Both sexes;null;21.4;null;27.63811;25.3;3.21372;632.5731;9.75168;
Czechia [Europe];2004;Female;null;0.0;null;7.18276;0.1;0.34448;452.7232;;
