Country;Year;Sex;Age-standardized DALYs falls per 100000;Comments;Age-standardized DALYs breast cancer per 100000;Age-standardized DALYs alcohol use disorders per 100000;Age-standardized death rates prematurity and low birth rate per 100000;
Democratic People's Republic of Korea [South-East Asia];2004;Male;175.0;null;;646.0;14.5;
South Africa [Africa];2004;Female;67.0;null;285.0;111.0;3.4;
Trinidad and Tobago [Americas];2004;Female;71.0;null;396.0;104.0;0.0;
Tunisia [Eastern Mediterranean];2004;Male;224.0;null;;165.0;9.9;
Timor-Leste [South-East Asia];2004;Female;172.0;null;218.0;33.0;0.1;
Bahamas [Americas];2004;Female;108.0;null;416.0;221.0;0.0;
Austria [Europe];2004;Female;85.0;null;259.0;163.0;0.1;
Saudi Arabia [Eastern Mediterranean];2004;Both sexes;345.0;null;98.0;37.0;7.4;
Angola [Africa];2004;Both sexes;255.0;null;218.0;116.0;32.0;
Greece [Europe];2004;Male;207.0;null;;578.0;2.9;
Bahrain [Eastern Mediterranean];2004;Female;89.0;null;292.0;0;0.0;
Iceland [Europe];2004;Female;92.0;null;295.0;116.0;0.0;
Vanuatu [Western Pacific];2004;Female;82.0;null;263.0;8;0.0;
Angola [Africa];2004;Male;361.0;null;;209.0;35.9;
Switzerland [Europe];2004;Both sexes;139.0;null;153.0;399.0;1.5;
Panama [Americas];2004;Male;159.0;null;;772.0;9.9;
Portugal [Europe];2004;Male;229.0;null;4;666.0;1.9;
Peru [Americas];2004;Female;106.0;null;255.0;258.0;1.0;
Libya [Eastern Mediterranean];2004;Male;218.0;null;;9;7.8;
Lesotho [Africa];2004;Female;50.0;null;75.0;22.0;0.2;
Malaysia [Western Pacific];2004;Male;163.0;null;;489.0;5.0;
Cameroon [Africa];2004;Both sexes;127.0;null;192.0;125.0;18.7;
Benin [Africa];2004;Male;130.0;null;;99.0;22.4;
Bahrain [Eastern Mediterranean];2004;Male;124.0;null;;284.0;2.8;
Malaysia [Western Pacific];2004;Female;92.0;null;251.0;52.0;0.6;
Slovakia [Europe];2004;Both sexes;273.0;null;134.0;726.0;4.3;
France [Europe];2004;Female;116.0;null;346.0;200.0;0.1;
Jamaica [Americas];2004;Male;131.0;null;2;380.0;8.3;
Egypt [Eastern Mediterranean];2004;Female;130.0;null;251.0;1;4.7;
France [Europe];2004;Male;203.0;null;5;836.0;0.9;
Cuba [Americas];2004;Female;125.0;null;211.0;108.0;0.0;
